           t           p         rho           h           s         gam           u          cp
   2.0000E+02  5.0000E-06  8.6765E-06 -9.9098E+01  1.0002E+01  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  5.0000E-06  5.9551E-06 -6.8242E+00  1.0382E+01  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  5.0000E-06  4.5332E-06  8.5839E+01  1.0658E+01  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  5.0000E-06  3.6594E-06  1.7944E+02  1.0878E+01  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  5.0000E-06  3.0681E-06  2.7453E+02  1.1061E+01  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  5.0000E-06  2.6413E-06  3.7148E+02  1.1220E+01  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  5.0000E-06  2.3187E-06  4.7045E+02  1.1361E+01  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  5.0000E-06  2.0663E-06  5.7144E+02  1.1488E+01  1.3482E+00  3.2946E+02  1.1156E+00
   9.3120E+02  5.0000E-06  1.8635E-06  6.7434E+02  1.1604E+01  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  5.0000E-06  1.6970E-06  7.7903E+02  1.1712E+01  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  5.0000E-06  1.5577E-06  8.8540E+02  1.1811E+01  1.3258E+00  5.6442E+02  1.1725E+00
   1.2054E+03  5.0000E-06  1.4396E-06  9.9336E+02  1.1904E+01  1.3196E+00  6.4604E+02  1.1899E+00
   2.0000E+02  4.4060E-02  7.6458E-02 -9.9098E+01  7.3845E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  4.4060E-02  5.2476E-02 -6.8242E+00  7.7645E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  4.4060E-02  3.9946E-02  8.5839E+01  8.0410E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  4.4060E-02  3.2247E-02  1.7944E+02  8.2603E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  4.4060E-02  2.7036E-02  2.7453E+02  8.4436E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  4.4060E-02  2.3275E-02  3.7148E+02  8.6024E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  4.4060E-02  2.0432E-02  4.7045E+02  8.7434E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  4.4060E-02  1.8209E-02  5.7144E+02  8.8707E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  4.4060E-02  1.6421E-02  6.7434E+02  8.9870E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  4.4060E-02  1.4954E-02  7.7903E+02  9.0943E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  4.4060E-02  1.3727E-02  8.8539E+02  9.1939E+00  1.3259E+00  5.6441E+02  1.1724E+00
   1.2054E+03  4.4060E-02  1.2686E-02  9.9331E+02  9.2870E+00  1.3199E+00  6.4599E+02  1.1889E+00
   2.0000E+02  8.8115E-02  1.5291E-01 -9.9098E+01  7.1848E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  8.8115E-02  1.0495E-01 -6.8242E+00  7.5648E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  8.8115E-02  7.9888E-02  8.5839E+01  7.8413E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  8.8115E-02  6.4490E-02  1.7944E+02  8.0606E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  8.8115E-02  5.4069E-02  2.7453E+02  8.2439E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  8.8115E-02  4.6547E-02  3.7148E+02  8.4027E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  8.8115E-02  4.0862E-02  4.7045E+02  8.5437E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  8.8115E-02  3.6415E-02  5.7144E+02  8.6710E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  8.8115E-02  3.2841E-02  6.7434E+02  8.7873E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  8.8115E-02  2.9905E-02  7.7903E+02  8.8946E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  8.8115E-02  2.7452E-02  8.8539E+02  8.9942E+00  1.3258E+00  5.6441E+02  1.1724E+00
   1.2054E+03  8.8115E-02  2.5370E-02  9.9331E+02  9.0873E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  1.3217E-01  2.2936E-01 -9.9098E+01  7.0680E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  1.3217E-01  1.5742E-01 -6.8242E+00  7.4480E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  1.3217E-01  1.1983E-01  8.5839E+01  7.7245E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  1.3217E-01  9.6734E-02  1.7944E+02  7.9437E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  1.3217E-01  8.1102E-02  2.7453E+02  8.1271E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  1.3217E-01  6.9819E-02  3.7148E+02  8.2859E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  1.3217E-01  6.1292E-02  4.7045E+02  8.4269E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  1.3217E-01  5.4621E-02  5.7144E+02  8.5542E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  1.3217E-01  4.9260E-02  6.7434E+02  8.6705E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  1.3217E-01  4.4857E-02  7.7903E+02  8.7777E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  1.3217E-01  4.1177E-02  8.8540E+02  8.8773E+00  1.3258E+00  5.6441E+02  1.1724E+00
   1.2054E+03  1.3217E-01  3.8055E-02  9.9331E+02  8.9704E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  1.7622E-01  3.0580E-01 -9.9098E+01  6.9851E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  1.7622E-01  2.0989E-01 -6.8242E+00  7.3651E+00  1.3987E+00 -9.0786E+01  1.0108E+00
