           t           p         rho           h           s         gam           u          cp
   3.8280E+02  1.7622E-01  1.5977E-01  8.5839E+01  7.6416E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  1.7622E-01  1.2898E-01  1.7944E+02  7.8608E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  1.7622E-01  1.0813E-01  2.7453E+02  8.0442E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  1.7622E-01  9.3091E-02  3.7148E+02  8.2030E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  1.7622E-01  8.1722E-02  4.7045E+02  8.3440E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  1.7622E-01  7.2828E-02  5.7144E+02  8.4713E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  1.7622E-01  6.5680E-02  6.7434E+02  8.5876E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  1.7622E-01  5.9809E-02  7.7903E+02  8.6948E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  1.7622E-01  5.4902E-02  8.8540E+02  8.7945E+00  1.3258E+00  5.6441E+02  1.1724E+00
   1.2054E+03  1.7622E-01  5.0739E-02  9.9331E+02  8.8876E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  2.2028E-01  3.8225E-01 -9.9098E+01  6.9208E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  2.2028E-01  2.6236E-01 -6.8242E+00  7.3008E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  2.2028E-01  1.9971E-01  8.5839E+01  7.5773E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  2.2028E-01  1.6122E-01  1.7944E+02  7.7966E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  2.2028E-01  1.3517E-01  2.7453E+02  7.9799E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  2.2028E-01  1.1636E-01  3.7148E+02  8.1387E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  2.2028E-01  1.0215E-01  4.7045E+02  8.2797E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  2.2028E-01  9.1034E-02  5.7144E+02  8.4070E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  2.2028E-01  8.2099E-02  6.7434E+02  8.5233E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  2.2028E-01  7.4761E-02  7.7903E+02  8.6306E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  2.2028E-01  6.8627E-02  8.8540E+02  8.7302E+00  1.3258E+00  5.6441E+02  1.1724E+00
   1.2054E+03  2.2028E-01  6.3424E-02  9.9331E+02  8.8233E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  2.6433E-01  4.5870E-01 -9.9098E+01  6.8683E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  2.6433E-01  3.1483E-01 -6.8242E+00  7.2482E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  2.6433E-01  2.3966E-01  8.5839E+01  7.5248E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  2.6433E-01  1.9346E-01  1.7944E+02  7.7440E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  2.6433E-01  1.6220E-01  2.7453E+02  7.9273E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  2.6433E-01  1.3964E-01  3.7148E+02  8.0862E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  2.6433E-01  1.2258E-01  4.7045E+02  8.2272E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  2.6433E-01  1.0924E-01  5.7144E+02  8.3545E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  2.6433E-01  9.8519E-02  6.7434E+02  8.4708E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  2.6433E-01  8.9713E-02  7.7903E+02  8.5780E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  2.6433E-01  8.2352E-02  8.8540E+02  8.6776E+00  1.3258E+00  5.6441E+02  1.1724E+00
   1.2054E+03  2.6433E-01  7.6108E-02  9.9331E+02  8.7707E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  3.0839E-01  5.3515E-01 -9.9098E+01  6.8239E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  3.0839E-01  3.6730E-01 -6.8242E+00  7.2038E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  3.0839E-01  2.7960E-01  8.5839E+01  7.4804E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  3.0839E-01  2.2571E-01  1.7944E+02  7.6996E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  3.0839E-01  1.8923E-01  2.7453E+02  7.8829E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  3.0839E-01  1.6291E-01  3.7148E+02  8.0418E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  3.0839E-01  1.4301E-01  4.7045E+02  8.1828E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  3.0839E-01  1.2745E-01  5.7144E+02  8.3101E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  3.0839E-01  1.1494E-01  6.7434E+02  8.4264E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  3.0839E-01  1.0466E-01  7.7903E+02  8.5336E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  3.0839E-01  9.6077E-02  8.8540E+02  8.6332E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  3.0839E-01  8.8792E-02  9.9331E+02  8.7263E+00  1.3199E+00  6.4599E+02  1.1888E+00
   2.0000E+02  3.5245E-01  6.1160E-01 -9.9098E+01  6.7854E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  3.5245E-01  4.1977E-01 -6.8242E+00  7.1654E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  3.5245E-01  3.1954E-01  8.5839E+01  7.4419E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  3.5245E-01  2.5795E-01  1.7944E+02  7.6611E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  3.5245E-01  2.1627E-01  2.7453E+02  7.8445E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  3.5245E-01  1.8618E-01  3.7148E+02  8.0033E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  3.5245E-01  1.6344E-01  4.7045E+02  8.1443E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  3.5245E-01  1.4565E-01  5.7144E+02  8.2716E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  3.5245E-01  1.3136E-01  6.7434E+02  8.3879E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  3.5245E-01  1.1962E-01  7.7903E+02  8.4951E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  3.5245E-01  1.0980E-01  8.8540E+02  8.5947E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  3.5245E-01  1.0148E-01  9.9331E+02  8.6878E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  3.9650E-01  6.8805E-01 -9.9098E+01  6.7515E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  3.9650E-01  4.7224E-01 -6.8242E+00  7.1314E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  3.9650E-01  3.5948E-01  8.5839E+01  7.4080E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  3.9650E-01  2.9019E-01  1.7944E+02  7.6272E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  3.9650E-01  2.4330E-01  2.7453E+02  7.8105E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  3.9650E-01  2.0945E-01  3.7148E+02  7.9694E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  3.9650E-01  1.8387E-01  4.7045E+02  8.1104E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  3.9650E-01  1.6386E-01  5.7144E+02  8.2377E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  3.9650E-01  1.4778E-01  6.7434E+02  8.3540E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  3.9650E-01  1.3457E-01  7.7903E+02  8.4612E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  3.9650E-01  1.2353E-01  8.8540E+02  8.5608E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  3.9650E-01  1.1416E-01  9.9331E+02  8.6539E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  4.4055E-01  7.6450E-01 -9.9098E+01  6.7211E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  4.4055E-01  5.2471E-01 -6.8242E+00  7.1011E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  4.4055E-01  3.9942E-01  8.5839E+01  7.3776E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  4.4055E-01  3.2244E-01  1.7944E+02  7.5968E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  4.4055E-01  2.7033E-01  2.7453E+02  7.7802E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  4.4055E-01  2.3272E-01  3.7148E+02  7.9390E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  4.4055E-01  2.0430E-01  4.7045E+02  8.0800E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  4.4055E-01  1.8207E-01  5.7144E+02  8.2073E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  4.4055E-01  1.6420E-01  6.7434E+02  8.3236E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  4.4055E-01  1.4952E-01  7.7903E+02  8.4308E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  4.4055E-01  1.3725E-01  8.8540E+02  8.5304E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  4.4055E-01  1.2685E-01  9.9331E+02  8.6235E+00  1.3199E+00  6.4600E+02  1.1888E+00
   2.0000E+02  4.8461E-01  8.4095E-01 -9.9098E+01  6.6936E+00  1.3998E+00 -1.5672E+02  1.0088E+00
   2.9140E+02  4.8461E-01  5.7718E-01 -6.8242E+00  7.0736E+00  1.3987E+00 -9.0786E+01  1.0108E+00
   3.8280E+02  4.8461E-01  4.3937E-01  8.5839E+01  7.3501E+00  1.3948E+00 -2.4458E+01  1.0179E+00
   4.7420E+02  4.8461E-01  3.5468E-01  1.7944E+02  7.5694E+00  1.3877E+00  4.2811E+01  1.0314E+00
   5.6560E+02  4.8461E-01  2.9736E-01  2.7453E+02  7.7527E+00  1.3782E+00  1.1156E+02  1.0500E+00
   6.5700E+02  4.8461E-01  2.5600E-01  3.7148E+02  7.9115E+00  1.3678E+00  1.8218E+02  1.0716E+00
   7.4840E+02  4.8461E-01  2.2473E-01  4.7045E+02  8.0526E+00  1.3575E+00  2.5481E+02  1.0940E+00
   8.3980E+02  4.8461E-01  2.0027E-01  5.7144E+02  8.1798E+00  1.3482E+00  3.2947E+02  1.1156E+00
   9.3120E+02  4.8461E-01  1.8062E-01  6.7434E+02  8.2961E+00  1.3399E+00  4.0603E+02  1.1358E+00
   1.0226E+03  4.8461E-01  1.6447E-01  7.7903E+02  8.4034E+00  1.3325E+00  4.8439E+02  1.1548E+00
   1.1140E+03  4.8461E-01  1.5098E-01  8.8540E+02  8.5030E+00  1.3258E+00  5.6442E+02  1.1724E+00
   1.2054E+03  4.8461E-01  1.3953E-01  9.9331E+02  8.5961E+00  1.3199E+00  6.4600E+02  1.1888E+00
