           t           p         rho           h           s         gam           u          cp
   1.2968E+03  5.2867E-01  1.4149E-01  1.1027E+03  8.6585E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  5.2867E-01  1.3217E-01  1.2135E+03  8.7410E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  5.2867E-01  1.2401E-01  1.3257E+03  8.8193E+00  1.3041E+00  8.9942E+02  1.2358E+00
   1.5710E+03  5.2867E-01  1.1679E-01  1.4394E+03  8.8939E+00  1.2991E+00  9.8676E+02  1.2517E+00
   1.6624E+03  5.2867E-01  1.1037E-01  1.5546E+03  8.9651E+00  1.2940E+00  1.0756E+03  1.2685E+00
   1.7538E+03  5.2867E-01  1.0462E-01  1.6713E+03  9.0335E+00  1.2888E+00  1.1660E+03  1.2868E+00
   1.8452E+03  5.2867E-01  9.9431E-02  1.7899E+03  9.0994E+00  1.2833E+00  1.2582E+03  1.3076E+00
   1.9366E+03  5.2867E-01  9.4731E-02  1.9105E+03  9.1632E+00  1.2772E+00  1.3524E+03  1.3326E+00
   2.0280E+03  5.2867E-01  9.0450E-02  2.0337E+03  9.2253E+00  1.2703E+00  1.4492E+03  1.3641E+00
   2.1194E+03  5.2867E-01  8.6529E-02  2.1601E+03  9.2863E+00  1.2624E+00  1.5492E+03  1.4051E+00
   2.2108E+03  5.2867E-01  8.2918E-02  2.2910E+03  9.3467E+00  1.2532E+00  1.6534E+03  1.4598E+00
   2.3022E+03  5.2867E-01  7.9574E-02  2.4276E+03  9.4073E+00  1.2427E+00  1.7632E+03  1.5329E+00
   1.2968E+03  5.7272E-01  1.5328E-01  1.1027E+03  8.6354E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  5.7272E-01  1.4318E-01  1.2135E+03  8.7180E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  5.7272E-01  1.3434E-01  1.3257E+03  8.7963E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  5.7272E-01  1.2652E-01  1.4394E+03  8.8708E+00  1.2991E+00  9.8676E+02  1.2517E+00
   1.6624E+03  5.7272E-01  1.1957E-01  1.5546E+03  8.9421E+00  1.2940E+00  1.0756E+03  1.2684E+00
   1.7538E+03  5.7272E-01  1.1333E-01  1.6713E+03  9.0104E+00  1.2889E+00  1.1660E+03  1.2866E+00
   1.8452E+03  5.7272E-01  1.0772E-01  1.7898E+03  9.0763E+00  1.2834E+00  1.2582E+03  1.3072E+00
   1.9366E+03  5.7272E-01  1.0263E-01  1.9104E+03  9.1401E+00  1.2773E+00  1.3524E+03  1.3319E+00
   2.0280E+03  5.7272E-01  9.7988E-02  2.0335E+03  9.2022E+00  1.2706E+00  1.4490E+03  1.3627E+00
   2.1194E+03  5.7272E-01  9.3741E-02  2.1598E+03  9.2631E+00  1.2628E+00  1.5488E+03  1.4028E+00
   2.2108E+03  5.7272E-01  8.9831E-02  2.2903E+03  9.3234E+00  1.2537E+00  1.6528E+03  1.4560E+00
   2.3022E+03  5.7272E-01  8.6210E-02  2.4265E+03  9.3837E+00  1.2435E+00  1.7622E+03  1.5268E+00
   1.2968E+03  6.1677E-01  1.6507E-01  1.1027E+03  8.6141E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  6.1677E-01  1.5420E-01  1.2135E+03  8.6966E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  6.1677E-01  1.4467E-01  1.3257E+03  8.7749E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  6.1677E-01  1.3626E-01  1.4394E+03  8.8495E+00  1.2991E+00  9.8676E+02  1.2517E+00
   1.6624E+03  6.1677E-01  1.2876E-01  1.5546E+03  8.9207E+00  1.2940E+00  1.0756E+03  1.2684E+00
   1.7538E+03  6.1677E-01  1.2205E-01  1.6713E+03  8.9891E+00  1.2889E+00  1.1660E+03  1.2865E+00
