           t           p         rho           h           s         gam           u          cp
   1.8452E+03  6.1677E-01  1.1600E-01  1.7898E+03  9.0549E+00  1.2834E+00  1.2581E+03  1.3069E+00
   1.9366E+03  6.1677E-01  1.1052E-01  1.9103E+03  9.1187E+00  1.2775E+00  1.3523E+03  1.3312E+00
   2.0280E+03  6.1677E-01  1.0553E-01  2.0333E+03  9.1807E+00  1.2708E+00  1.4489E+03  1.3615E+00
   2.1194E+03  6.1677E-01  1.0095E-01  2.1595E+03  9.2416E+00  1.2631E+00  1.5486E+03  1.4007E+00
   2.2108E+03  6.1677E-01  9.6744E-02  2.2898E+03  9.3017E+00  1.2542E+00  1.6522E+03  1.4525E+00
   2.3022E+03  6.1677E-01  9.2847E-02  2.4255E+03  9.3619E+00  1.2441E+00  1.7612E+03  1.5213E+00
   1.2968E+03  6.6083E-01  1.7686E-01  1.1027E+03  8.5942E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  6.6083E-01  1.6521E-01  1.2135E+03  8.6767E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  6.6083E-01  1.5501E-01  1.3257E+03  8.7550E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  6.6083E-01  1.4599E-01  1.4394E+03  8.8296E+00  1.2991E+00  9.8676E+02  1.2516E+00
   1.6624E+03  6.6083E-01  1.3796E-01  1.5546E+03  8.9008E+00  1.2941E+00  1.0756E+03  1.2683E+00
   1.7538E+03  6.6083E-01  1.3077E-01  1.6713E+03  8.9692E+00  1.2889E+00  1.1660E+03  1.2863E+00
   1.8452E+03  6.6083E-01  1.2429E-01  1.7898E+03  9.0350E+00  1.2835E+00  1.2581E+03  1.3066E+00
   1.9366E+03  6.6083E-01  1.1842E-01  1.9103E+03  9.0988E+00  1.2776E+00  1.3522E+03  1.3307E+00
   2.0280E+03  6.6083E-01  1.1307E-01  2.0332E+03  9.1608E+00  1.2710E+00  1.4487E+03  1.3605E+00
   2.1194E+03  6.6083E-01  1.0817E-01  2.1592E+03  9.2216E+00  1.2634E+00  1.5483E+03  1.3989E+00
   2.2108E+03  6.6083E-01  1.0366E-01  2.2893E+03  9.2816E+00  1.2547E+00  1.6518E+03  1.4494E+00
   2.3022E+03  6.6083E-01  9.9484E-02  2.4247E+03  9.3416E+00  1.2448E+00  1.7604E+03  1.5164E+00
   1.2968E+03  7.0488E-01  1.8865E-01  1.1027E+03  8.5756E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  7.0488E-01  1.7623E-01  1.2135E+03  8.6582E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  7.0488E-01  1.6534E-01  1.3257E+03  8.7364E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  7.0488E-01  1.5572E-01  1.4394E+03  8.8110E+00  1.2991E+00  9.8676E+02  1.2516E+00
   1.6624E+03  7.0488E-01  1.4716E-01  1.5546E+03  8.8822E+00  1.2941E+00  1.0756E+03  1.2683E+00
   1.7538E+03  7.0488E-01  1.3949E-01  1.6713E+03  8.9506E+00  1.2889E+00  1.1660E+03  1.2862E+00
   1.8452E+03  7.0488E-01  1.3257E-01  1.7898E+03  9.0164E+00  1.2835E+00  1.2581E+03  1.3064E+00
   1.9366E+03  7.0488E-01  1.2631E-01  1.9102E+03  9.0801E+00  1.2777E+00  1.3521E+03  1.3301E+00
   2.0280E+03  7.0488E-01  1.2060E-01  2.0331E+03  9.1421E+00  1.2711E+00  1.4486E+03  1.3595E+00
   2.1194E+03  7.0488E-01  1.1538E-01  2.1590E+03  9.2028E+00  1.2637E+00  1.5480E+03  1.3972E+00
   2.2108E+03  7.0488E-01  1.1057E-01  2.2888E+03  9.2628E+00  1.2551E+00  1.6513E+03  1.4466E+00
   2.3022E+03  7.0488E-01  1.0612E-01  2.4239E+03  9.3227E+00  1.2453E+00  1.7597E+03  1.5120E+00
   1.2968E+03  7.4894E-01  2.0044E-01  1.1027E+03  8.5581E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  7.4894E-01  1.8724E-01  1.2135E+03  8.6407E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  7.4894E-01  1.7567E-01  1.3257E+03  8.7190E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  7.4894E-01  1.6545E-01  1.4394E+03  8.7935E+00  1.2991E+00  9.8675E+02  1.2516E+00
   1.6624E+03  7.4894E-01  1.5636E-01  1.5546E+03  8.8648E+00  1.2941E+00  1.0756E+03  1.2682E+00
   1.7538E+03  7.4894E-01  1.4821E-01  1.6713E+03  8.9331E+00  1.2890E+00  1.1659E+03  1.2861E+00
   1.8452E+03  7.4894E-01  1.4086E-01  1.7897E+03  8.9989E+00  1.2836E+00  1.2580E+03  1.3061E+00
   1.9366E+03  7.4894E-01  1.3421E-01  1.9101E+03  9.0626E+00  1.2778E+00  1.3521E+03  1.3297E+00
   2.0280E+03  7.4894E-01  1.2814E-01  2.0330E+03  9.1246E+00  1.2713E+00  1.4485E+03  1.3586E+00
   2.1194E+03  7.4894E-01  1.2259E-01  2.1588E+03  9.1852E+00  1.2639E+00  1.5478E+03  1.3957E+00
   2.2108E+03  7.4894E-01  1.1748E-01  2.2884E+03  9.2451E+00  1.2555E+00  1.6509E+03  1.4441E+00
   2.3022E+03  7.4894E-01  1.1276E-01  2.4232E+03  9.3049E+00  1.2459E+00  1.7590E+03  1.5079E+00
   1.2968E+03  7.9300E-01  2.1223E-01  1.1027E+03  8.5416E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  7.9300E-01  1.9826E-01  1.2135E+03  8.6242E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  7.9300E-01  1.8601E-01  1.3257E+03  8.7025E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  7.9300E-01  1.7519E-01  1.4394E+03  8.7770E+00  1.2991E+00  9.8675E+02  1.2516E+00
   1.6624E+03  7.9300E-01  1.6555E-01  1.5546E+03  8.8483E+00  1.2941E+00  1.0756E+03  1.2682E+00
   1.7538E+03  7.9300E-01  1.5692E-01  1.6713E+03  8.9166E+00  1.2890E+00  1.1659E+03  1.2860E+00
   1.8452E+03  7.9300E-01  1.4915E-01  1.7897E+03  8.9824E+00  1.2836E+00  1.2580E+03  1.3059E+00
   1.9366E+03  7.9300E-01  1.4210E-01  1.9101E+03  9.0461E+00  1.2779E+00  1.3520E+03  1.3292E+00
   2.0280E+03  7.9300E-01  1.3568E-01  2.0328E+03  9.1081E+00  1.2714E+00  1.4484E+03  1.3578E+00
   2.1194E+03  7.9300E-01  1.2980E-01  2.1585E+03  9.1687E+00  1.2641E+00  1.5476E+03  1.3943E+00
   2.2108E+03  7.9300E-01  1.2440E-01  2.2881E+03  9.2285E+00  1.2558E+00  1.6506E+03  1.4417E+00
   2.3022E+03  7.9300E-01  1.1939E-01  2.4226E+03  9.2881E+00  1.2463E+00  1.7584E+03  1.5042E+00
   1.2968E+03  8.3705E-01  2.2402E-01  1.1027E+03  8.5261E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  8.3705E-01  2.0927E-01  1.2135E+03  8.6086E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  8.3705E-01  1.9634E-01  1.3257E+03  8.6869E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  8.3705E-01  1.8492E-01  1.4394E+03  8.7615E+00  1.2991E+00  9.8675E+02  1.2516E+00
   1.6624E+03  8.3705E-01  1.7475E-01  1.5546E+03  8.8327E+00  1.2941E+00  1.0756E+03  1.2681E+00
   1.7538E+03  8.3705E-01  1.6564E-01  1.6713E+03  8.9010E+00  1.2890E+00  1.1659E+03  1.2859E+00
   1.8452E+03  8.3705E-01  1.5743E-01  1.7897E+03  8.9669E+00  1.2837E+00  1.2580E+03  1.3057E+00
   1.9366E+03  8.3705E-01  1.4999E-01  1.9100E+03  9.0305E+00  1.2779E+00  1.3520E+03  1.3288E+00
   2.0280E+03  8.3705E-01  1.4322E-01  2.0327E+03  9.0924E+00  1.2716E+00  1.4483E+03  1.3571E+00
   2.1194E+03  8.3705E-01  1.3702E-01  2.1584E+03  9.1530E+00  1.2644E+00  1.5474E+03  1.3930E+00
   2.2108E+03  8.3705E-01  1.3131E-01  2.2877E+03  9.2127E+00  1.2561E+00  1.6503E+03  1.4396E+00
   2.3022E+03  8.3705E-01  1.2603E-01  2.4220E+03  9.2722E+00  1.2468E+00  1.7578E+03  1.5008E+00
   1.2968E+03  8.8111E-01  2.3581E-01  1.1027E+03  8.5113E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  8.8111E-01  2.2028E-01  1.2135E+03  8.5939E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  8.8111E-01  2.0668E-01  1.3257E+03  8.6722E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  8.8111E-01  1.9465E-01  1.4394E+03  8.7467E+00  1.2991E+00  9.8675E+02  1.2516E+00
   1.6624E+03  8.8111E-01  1.8395E-01  1.5546E+03  8.8179E+00  1.2941E+00  1.0756E+03  1.2681E+00
   1.7538E+03  8.8111E-01  1.7436E-01  1.6713E+03  8.8863E+00  1.2890E+00  1.1659E+03  1.2858E+00
   1.8452E+03  8.8111E-01  1.6572E-01  1.7897E+03  8.9521E+00  1.2837E+00  1.2580E+03  1.3055E+00
   1.9366E+03  8.8111E-01  1.5789E-01  1.9100E+03  9.0157E+00  1.2780E+00  1.3520E+03  1.3285E+00
   2.0280E+03  8.8111E-01  1.5076E-01  2.0327E+03  9.0776E+00  1.2717E+00  1.4482E+03  1.3564E+00
   2.1194E+03  8.8111E-01  1.4423E-01  2.1582E+03  9.1381E+00  1.2646E+00  1.5473E+03  1.3918E+00
   2.2108E+03  8.8111E-01  1.3822E-01  2.2874E+03  9.1978E+00  1.2564E+00  1.6499E+03  1.4376E+00
   2.3022E+03  8.8111E-01  1.3267E-01  2.4214E+03  9.2572E+00  1.2472E+00  1.7573E+03  1.4976E+00
   1.2968E+03  9.2516E-01  2.4760E-01  1.1027E+03  8.4972E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  9.2516E-01  2.3130E-01  1.2135E+03  8.5798E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  9.2516E-01  2.1701E-01  1.3257E+03  8.6581E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  9.2516E-01  2.0438E-01  1.4394E+03  8.7326E+00  1.2991E+00  9.8675E+02  1.2515E+00
   1.6624E+03  9.2516E-01  1.9315E-01  1.5545E+03  8.8039E+00  1.2941E+00  1.0756E+03  1.2681E+00
   1.7538E+03  9.2516E-01  1.8308E-01  1.6712E+03  8.8722E+00  1.2890E+00  1.1659E+03  1.2857E+00
   1.8452E+03  9.2516E-01  1.7401E-01  1.7896E+03  8.9380E+00  1.2837E+00  1.2580E+03  1.3054E+00
   1.9366E+03  9.2516E-01  1.6578E-01  1.9100E+03  9.0016E+00  1.2781E+00  1.3519E+03  1.3281E+00
   2.0280E+03  9.2516E-01  1.5830E-01  2.0326E+03  9.0635E+00  1.2718E+00  1.4481E+03  1.3558E+00
   2.1194E+03  9.2516E-01  1.5144E-01  2.1580E+03  9.1240E+00  1.2647E+00  1.5471E+03  1.3907E+00
   2.2108E+03  9.2516E-01  1.4514E-01  2.2871E+03  9.1836E+00  1.2567E+00  1.6497E+03  1.4358E+00
   2.3022E+03  9.2516E-01  1.3931E-01  2.4209E+03  9.2429E+00  1.2476E+00  1.7568E+03  1.4947E+00
   1.2968E+03  9.6922E-01  2.5939E-01  1.1027E+03  8.4838E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  9.6922E-01  2.4231E-01  1.2135E+03  8.5664E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  9.6922E-01  2.2734E-01  1.3257E+03  8.6447E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  9.6922E-01  2.1412E-01  1.4394E+03  8.7192E+00  1.2991E+00  9.8675E+02  1.2515E+00
   1.6624E+03  9.6922E-01  2.0234E-01  1.5545E+03  8.7905E+00  1.2941E+00  1.0756E+03  1.2680E+00
   1.7538E+03  9.6922E-01  1.9180E-01  1.6712E+03  8.8588E+00  1.2891E+00  1.1659E+03  1.2857E+00
   1.8452E+03  9.6922E-01  1.8229E-01  1.7896E+03  8.9246E+00  1.2838E+00  1.2579E+03  1.3052E+00
   1.9366E+03  9.6922E-01  1.7368E-01  1.9099E+03  8.9882E+00  1.2781E+00  1.3519E+03  1.3278E+00
   2.0280E+03  9.6922E-01  1.6584E-01  2.0325E+03  9.0501E+00  1.2719E+00  1.4480E+03  1.3552E+00
   2.1194E+03  9.6922E-01  1.5866E-01  2.1579E+03  9.1105E+00  1.2649E+00  1.5470E+03  1.3896E+00
   2.2108E+03  9.6922E-01  1.5205E-01  2.2868E+03  9.1701E+00  1.2569E+00  1.6494E+03  1.4340E+00
   2.3022E+03  9.6922E-01  1.4594E-01  2.4204E+03  9.2293E+00  1.2479E+00  1.7563E+03  1.4920E+00
   1.2968E+03  1.0133E+00  2.7118E-01  1.1027E+03  8.4710E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  1.0133E+00  2.5333E-01  1.2135E+03  8.5536E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  1.0133E+00  2.3768E-01  1.3257E+03  8.6319E+00  1.3041E+00  8.9942E+02  1.2357E+00
   1.5710E+03  1.0133E+00  2.2385E-01  1.4394E+03  8.7064E+00  1.2991E+00  9.8675E+02  1.2515E+00
   1.6624E+03  1.0133E+00  2.1154E-01  1.5545E+03  8.7776E+00  1.2941E+00  1.0755E+03  1.2680E+00
   1.7538E+03  1.0133E+00  2.0051E-01  1.6712E+03  8.8460E+00  1.2891E+00  1.1659E+03  1.2856E+00
   1.8452E+03  1.0133E+00  1.9058E-01  1.7896E+03  8.9118E+00  1.2838E+00  1.2579E+03  1.3051E+00
   1.9366E+03  1.0133E+00  1.8157E-01  1.9099E+03  8.9754E+00  1.2782E+00  1.3518E+03  1.3275E+00
   2.0280E+03  1.0133E+00  1.7337E-01  2.0324E+03  9.0372E+00  1.2720E+00  1.4480E+03  1.3546E+00
   2.1194E+03  1.0133E+00  1.6587E-01  2.1577E+03  9.0976E+00  1.2651E+00  1.5468E+03  1.3887E+00
   2.2108E+03  1.0133E+00  1.5897E-01  2.2866E+03  9.1571E+00  1.2572E+00  1.6491E+03  1.4324E+00
   2.3022E+03  1.0133E+00  1.5258E-01  2.4200E+03  9.2163E+00  1.2483E+00  1.7559E+03  1.4894E+00
