           t           p         rho           h           s         gam           u          cp
   1.2968E+03  8.8115E-02  2.3582E-02  1.1027E+03  9.1747E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  8.8115E-02  2.2029E-02  1.2135E+03  9.2573E+00  1.3091E+00  8.1353E+02  1.2203E+00
   1.4796E+03  8.8115E-02  2.0669E-02  1.3258E+03  9.3356E+00  1.3040E+00  8.9945E+02  1.2361E+00
   1.5710E+03  8.8115E-02  1.9466E-02  1.4395E+03  9.4102E+00  1.2988E+00  9.8684E+02  1.2527E+00
   1.6624E+03  8.8115E-02  1.8395E-02  1.5548E+03  9.4815E+00  1.2934E+00  1.0758E+03  1.2711E+00
   1.7538E+03  8.8115E-02  1.7436E-02  1.6720E+03  9.5501E+00  1.2875E+00  1.1666E+03  1.2930E+00
   1.8452E+03  8.8115E-02  1.6571E-02  1.7914E+03  9.6165E+00  1.2806E+00  1.2596E+03  1.3209E+00
   1.9366E+03  8.8115E-02  1.5786E-02  1.9137E+03  9.6812E+00  1.2723E+00  1.3556E+03  1.3590E+00
   2.0280E+03  8.8115E-02  1.5070E-02  2.0403E+03  9.7450E+00  1.2620E+00  1.4556E+03  1.4131E+00
   2.1194E+03  8.8115E-02  1.4412E-02  2.1728E+03  9.8089E+00  1.2495E+00  1.5614E+03  1.4909E+00
   2.2108E+03  8.8115E-02  1.3802E-02  2.3138E+03  9.8741E+00  1.2349E+00  1.6754E+03  1.6021E+00
   2.3022E+03  8.8115E-02  1.3233E-02  2.4670E+03  9.9419E+00  1.2187E+00  1.8011E+03  1.7577E+00
   1.2968E+03  1.3217E-01  3.5373E-02  1.1027E+03  9.0579E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  1.3217E-01  3.3044E-02  1.2135E+03  9.1405E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  1.3217E-01  3.1002E-02  1.3258E+03  9.2188E+00  1.3040E+00  8.9944E+02  1.2360E+00
   1.5710E+03  1.3217E-01  2.9199E-02  1.4395E+03  9.2933E+00  1.2989E+00  9.8681E+02  1.2524E+00
   1.6624E+03  1.3217E-01  2.7593E-02  1.5547E+03  9.3647E+00  1.2936E+00  1.0757E+03  1.2703E+00
   1.7538E+03  1.3217E-01  2.6154E-02  1.6718E+03  9.4332E+00  1.2879E+00  1.1664E+03  1.2911E+00
   1.8452E+03  1.3217E-01  2.4857E-02  1.7909E+03  9.4994E+00  1.2814E+00  1.2592E+03  1.3168E+00
   1.9366E+03  1.3217E-01  2.3680E-02  1.9127E+03  9.5638E+00  1.2738E+00  1.3546E+03  1.3508E+00
   2.0280E+03  1.3217E-01  2.2607E-02  2.0382E+03  9.6271E+00  1.2645E+00  1.4536E+03  1.3979E+00
   2.1194E+03  1.3217E-01  2.1622E-02  2.1689E+03  9.6901E+00  1.2533E+00  1.5576E+03  1.4644E+00
   2.2108E+03  1.3217E-01  2.0711E-02  2.3067E+03  9.7538E+00  1.2401E+00  1.6686E+03  1.5581E+00
   2.3022E+03  1.3217E-01  1.9863E-02  2.4548E+03  9.8194E+00  1.2253E+00  1.7894E+03  1.6884E+00
   1.2968E+03  1.7622E-01  4.7163E-02  1.1027E+03  8.9750E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  1.7622E-01  4.4058E-02  1.2135E+03  9.0576E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  1.7622E-01  4.1336E-02  1.3258E+03  9.1359E+00  1.3040E+00  8.9943E+02  1.2359E+00
   1.5710E+03  1.7622E-01  3.8931E-02  1.4395E+03  9.2104E+00  1.2989E+00  9.8680E+02  1.2522E+00
   1.6624E+03  1.7622E-01  3.6790E-02  1.5547E+03  9.2817E+00  1.2937E+00  1.0757E+03  1.2698E+00
   1.7538E+03  1.7622E-01  3.4872E-02  1.6717E+03  9.3502E+00  1.2881E+00  1.1663E+03  1.2899E+00
   1.8452E+03  1.7622E-01  3.3143E-02  1.7906E+03  9.4164E+00  1.2819E+00  1.2589E+03  1.3143E+00
   1.9366E+03  1.7622E-01  3.1575E-02  1.9121E+03  9.4806E+00  1.2747E+00  1.3540E+03  1.3459E+00
   2.0280E+03  1.7622E-01  3.0145E-02  2.0370E+03  9.5436E+00  1.2660E+00  1.4524E+03  1.3889E+00
   2.1194E+03  1.7622E-01  2.8833E-02  2.1665E+03  9.6061E+00  1.2557E+00  1.5553E+03  1.4485E+00
   2.2108E+03  1.7622E-01  2.7622E-02  2.3025E+03  9.6689E+00  1.2434E+00  1.6645E+03  1.5318E+00
   2.3022E+03  1.7622E-01  2.6495E-02  2.4475E+03  9.7331E+00  1.2296E+00  1.7824E+03  1.6469E+00
   1.2968E+03  2.2028E-01  5.8953E-02  1.1027E+03  8.9107E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  2.2028E-01  5.5072E-02  1.2135E+03  8.9933E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  2.2028E-01  5.1670E-02  1.3258E+03  9.0716E+00  1.3040E+00  8.9943E+02  1.2359E+00
   1.5710E+03  2.2028E-01  4.8664E-02  1.4394E+03  9.1461E+00  1.2990E+00  9.8679E+02  1.2521E+00
   1.6624E+03  2.2028E-01  4.5988E-02  1.5547E+03  9.2174E+00  1.2938E+00  1.0757E+03  1.2695E+00
   1.7538E+03  2.2028E-01  4.3590E-02  1.6716E+03  9.2859E+00  1.2883E+00  1.1662E+03  1.2891E+00
   1.8452E+03  2.2028E-01  4.1429E-02  1.7904E+03  9.3519E+00  1.2823E+00  1.2587E+03  1.3127E+00
   1.9366E+03  2.2028E-01  3.9469E-02  1.9117E+03  9.4161E+00  1.2753E+00  1.3536E+03  1.3426E+00
   2.0280E+03  2.2028E-01  3.7683E-02  2.0362E+03  9.4789E+00  1.2671E+00  1.4516E+03  1.3827E+00
   2.1194E+03  2.2028E-01  3.6044E-02  2.1649E+03  9.5410E+00  1.2573E+00  1.5538E+03  1.4377E+00
   2.2108E+03  2.2028E-01  3.4533E-02  2.2996E+03  9.6032E+00  1.2458E+00  1.6617E+03  1.5139E+00
   2.3022E+03  2.2028E-01  3.3128E-02  2.4425E+03  9.6665E+00  1.2327E+00  1.7776E+03  1.6186E+00
   1.2968E+03  2.6433E-01  7.0744E-02  1.1027E+03  8.8582E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  2.6433E-01  6.6086E-02  1.2135E+03  8.9408E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  2.6433E-01  6.2004E-02  1.3258E+03  9.0191E+00  1.3040E+00  8.9943E+02  1.2358E+00
   1.5710E+03  2.6433E-01  5.8396E-02  1.4394E+03  9.0936E+00  1.2990E+00  9.8678E+02  1.2520E+00
   1.6624E+03  2.6433E-01  5.5185E-02  1.5547E+03  9.1649E+00  1.2938E+00  1.0757E+03  1.2693E+00
   1.7538E+03  2.6433E-01  5.2308E-02  1.6715E+03  9.2333E+00  1.2884E+00  1.1662E+03  1.2886E+00
   1.8452E+03  2.6433E-01  4.9714E-02  1.7903E+03  9.2993E+00  1.2825E+00  1.2586E+03  1.3114E+00
   1.9366E+03  2.6433E-01  4.7364E-02  1.9114E+03  9.3634E+00  1.2758E+00  1.3533E+03  1.3402E+00
   2.0280E+03  2.6433E-01  4.5221E-02  2.0356E+03  9.4260E+00  1.2679E+00  1.4510E+03  1.3781E+00
   2.1194E+03  2.6433E-01  4.3256E-02  2.1638E+03  9.4878E+00  1.2585E+00  1.5527E+03  1.4297E+00
   2.2108E+03  2.6433E-01  4.1444E-02  2.2975E+03  9.5496E+00  1.2475E+00  1.6597E+03  1.5006E+00
   2.3022E+03  2.6433E-01  3.9762E-02  2.4389E+03  9.6123E+00  1.2350E+00  1.7741E+03  1.5976E+00
   1.2968E+03  3.0839E-01  8.2534E-02  1.1027E+03  8.8138E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  3.0839E-01  7.7100E-02  1.2135E+03  8.8963E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  3.0839E-01  7.2337E-02  1.3258E+03  8.9746E+00  1.3041E+00  8.9943E+02  1.2358E+00
   1.5710E+03  3.0839E-01  6.8129E-02  1.4394E+03  9.0492E+00  1.2990E+00  9.8678E+02  1.2519E+00
   1.6624E+03  3.0839E-01  6.4382E-02  1.5546E+03  9.1205E+00  1.2939E+00  1.0756E+03  1.2691E+00
   1.7538E+03  3.0839E-01  6.1026E-02  1.6715E+03  9.1889E+00  1.2885E+00  1.1661E+03  1.2881E+00
   1.8452E+03  3.0839E-01  5.8000E-02  1.7902E+03  9.2549E+00  1.2827E+00  1.2585E+03  1.3104E+00
   1.9366E+03  3.0839E-01  5.5258E-02  1.9112E+03  9.3189E+00  1.2761E+00  1.3531E+03  1.3382E+00
   2.0280E+03  3.0839E-01  5.2759E-02  2.0351E+03  9.3814E+00  1.2685E+00  1.4506E+03  1.3745E+00
   2.1194E+03  3.0839E-01  5.0468E-02  2.1628E+03  9.4430E+00  1.2595E+00  1.5518E+03  1.4235E+00
   2.2108E+03  3.0839E-01  4.8356E-02  2.2958E+03  9.5044E+00  1.2489E+00  1.6581E+03  1.4903E+00
   2.3022E+03  3.0839E-01  4.6396E-02  2.4360E+03  9.5665E+00  1.2369E+00  1.7713E+03  1.5812E+00
   1.2968E+03  3.5245E-01  9.4325E-02  1.1027E+03  8.7753E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  3.5245E-01  8.8114E-02  1.2135E+03  8.8579E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  3.5245E-01  8.2671E-02  1.3257E+03  8.9362E+00  1.3041E+00  8.9943E+02  1.2358E+00
   1.5710E+03  3.5245E-01  7.7861E-02  1.4394E+03  9.0107E+00  1.2990E+00  9.8677E+02  1.2519E+00
   1.6624E+03  3.5245E-01  7.3580E-02  1.5546E+03  9.0820E+00  1.2939E+00  1.0756E+03  1.2689E+00
   1.7538E+03  3.5245E-01  6.9744E-02  1.6714E+03  9.1504E+00  1.2886E+00  1.1661E+03  1.2877E+00
   1.8452E+03  3.5245E-01  6.6286E-02  1.7901E+03  9.2163E+00  1.2829E+00  1.2584E+03  1.3097E+00
   1.9366E+03  3.5245E-01  6.3153E-02  1.9110E+03  9.2803E+00  1.2764E+00  1.3529E+03  1.3367E+00
   2.0280E+03  3.5245E-01  6.0297E-02  2.0347E+03  9.3427E+00  1.2690E+00  1.4502E+03  1.3717E+00
   2.1194E+03  3.5245E-01  5.7680E-02  2.1621E+03  9.4041E+00  1.2603E+00  1.5511E+03  1.4185E+00
   2.2108E+03  3.5245E-01  5.5268E-02  2.2945E+03  9.4653E+00  1.2501E+00  1.6568E+03  1.4820E+00
   2.3022E+03  3.5245E-01  5.3031E-02  2.4337E+03  9.5270E+00  1.2384E+00  1.7691E+03  1.5681E+00
   1.2968E+03  3.9650E-01  1.0612E-01  1.1027E+03  8.7414E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  3.9650E-01  9.9128E-02  1.2135E+03  8.8239E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  3.9650E-01  9.3005E-02  1.3257E+03  8.9022E+00  1.3041E+00  8.9943E+02  1.2358E+00
   1.5710E+03  3.9650E-01  8.7594E-02  1.4394E+03  8.9768E+00  1.2990E+00  9.8677E+02  1.2518E+00
   1.6624E+03  3.9650E-01  8.2777E-02  1.5546E+03  9.0480E+00  1.2940E+00  1.0756E+03  1.2688E+00
   1.7538E+03  3.9650E-01  7.8462E-02  1.6714E+03  9.1164E+00  1.2887E+00  1.1661E+03  1.2874E+00
   1.8452E+03  3.9650E-01  7.4572E-02  1.7900E+03  9.1824E+00  1.2830E+00  1.2583E+03  1.3090E+00
   1.9366E+03  3.9650E-01  7.1047E-02  1.9108E+03  9.2463E+00  1.2767E+00  1.3528E+03  1.3354E+00
   2.0280E+03  3.9650E-01  6.7835E-02  2.0344E+03  9.3086E+00  1.2694E+00  1.4499E+03  1.3693E+00
   2.1194E+03  3.9650E-01  6.4892E-02  2.1615E+03  9.3699E+00  1.2609E+00  1.5505E+03  1.4143E+00
   2.2108E+03  3.9650E-01  6.2180E-02  2.2934E+03  9.4308E+00  1.2510E+00  1.6557E+03  1.4751E+00
   2.3022E+03  3.9650E-01  5.9666E-02  2.4318E+03  9.4921E+00  1.2397E+00  1.7673E+03  1.5571E+00
   1.2968E+03  4.4055E-01  1.1791E-01  1.1027E+03  8.7110E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  4.4055E-01  1.1014E-01  1.2135E+03  8.7936E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  4.4055E-01  1.0334E-01  1.3257E+03  8.8719E+00  1.3041E+00  8.9943E+02  1.2358E+00
   1.5710E+03  4.4055E-01  9.7326E-02  1.4394E+03  8.9464E+00  1.2990E+00  9.8677E+02  1.2518E+00
   1.6624E+03  4.4055E-01  9.1975E-02  1.5546E+03  9.0177E+00  1.2940E+00  1.0756E+03  1.2687E+00
   1.7538E+03  4.4055E-01  8.7180E-02  1.6714E+03  9.0861E+00  1.2887E+00  1.1660E+03  1.2872E+00
   1.8452E+03  4.4055E-01  8.2858E-02  1.7900E+03  9.1520E+00  1.2831E+00  1.2583E+03  1.3085E+00
   1.9366E+03  4.4055E-01  7.8942E-02  1.9107E+03  9.2158E+00  1.2769E+00  1.3526E+03  1.3343E+00
   2.0280E+03  4.4055E-01  7.5373E-02  2.0341E+03  9.2781E+00  1.2698E+00  1.4496E+03  1.3673E+00
   2.1194E+03  4.4055E-01  7.2104E-02  2.1610E+03  9.3393E+00  1.2615E+00  1.5500E+03  1.4108E+00
   2.2108E+03  4.4055E-01  6.9093E-02  2.2925E+03  9.4000E+00  1.2518E+00  1.6548E+03  1.4692E+00
   2.3022E+03  4.4055E-01  6.6302E-02  2.4302E+03  9.4610E+00  1.2408E+00  1.7657E+03  1.5479E+00
   1.2968E+03  4.8461E-01  1.2970E-01  1.1027E+03  8.6835E+00  1.3144E+00  7.2905E+02  1.2046E+00
   1.3882E+03  4.8461E-01  1.2116E-01  1.2135E+03  8.7661E+00  1.3091E+00  8.1353E+02  1.2202E+00
   1.4796E+03  4.8461E-01  1.1367E-01  1.3257E+03  8.8444E+00  1.3041E+00  8.9943E+02  1.2358E+00
   1.5710E+03  4.8461E-01  1.0706E-01  1.4394E+03  8.9190E+00  1.2991E+00  9.8676E+02  1.2517E+00
   1.6624E+03  4.8461E-01  1.0117E-01  1.5546E+03  8.9902E+00  1.2940E+00  1.0756E+03  1.2686E+00
   1.7538E+03  4.8461E-01  9.5898E-02  1.6714E+03  9.0586E+00  1.2888E+00  1.1660E+03  1.2870E+00
   1.8452E+03  4.8461E-01  9.1144E-02  1.7899E+03  9.1245E+00  1.2832E+00  1.2582E+03  1.3080E+00
   1.9366E+03  4.8461E-01  8.6837E-02  1.9106E+03  9.1883E+00  1.2771E+00  1.3525E+03  1.3334E+00
   2.0280E+03  4.8461E-01  8.2912E-02  2.0339E+03  9.2505E+00  1.2701E+00  1.4494E+03  1.3656E+00
   2.1194E+03  4.8461E-01  7.9316E-02  2.1605E+03  9.3116E+00  1.2620E+00  1.5496E+03  1.4078E+00
   2.2108E+03  4.8461E-01  7.6005E-02  2.2917E+03  9.3721E+00  1.2526E+00  1.6541E+03  1.4642E+00
   2.3022E+03  4.8461E-01  7.2938E-02  2.4288E+03  9.4329E+00  1.2418E+00  1.7644E+03  1.5399E+00
