           t           p         rho           h           s         gam           u          cp
   1.2968E+03  5.0000E-06  1.3381E-06  1.1030E+03  1.1992E+01  1.3128E+00  7.2934E+02  1.2101E+00
   1.3882E+03  5.0000E-06  1.2499E-06  1.2149E+03  1.2075E+01  1.3032E+00  8.1491E+02  1.2426E+00
   1.4796E+03  5.0000E-06  1.1725E-06  1.3313E+03  1.2157E+01  1.2858E+00  9.0480E+02  1.3127E+00
   1.5710E+03  5.0000E-06  1.1034E-06  1.4577E+03  1.2239E+01  1.2540E+00  1.0046E+03  1.4784E+00
   1.6624E+03  5.0000E-06  1.0407E-06  1.6078E+03  1.2332E+01  1.2078E+00  1.1274E+03  1.8548E+00
   1.7538E+03  5.0000E-06  9.8176E-07  1.8091E+03  1.2450E+01  1.1597E+00  1.2998E+03  2.6362E+00
   1.8452E+03  5.0000E-06  9.2363E-07  2.1099E+03  1.2617E+01  1.1240E+00  1.5686E+03  4.0775E+00
   1.9366E+03  5.0000E-06  8.6319E-07  2.5796E+03  1.2865E+01  1.1037E+00  2.0004E+03  6.3277E+00
   2.0280E+03  5.0000E-06  7.9904E-07  3.2787E+03  1.3217E+01  1.0953E+00  2.6529E+03  8.9268E+00
   2.1194E+03  5.0000E-06  7.3457E-07  4.1708E+03  1.3647E+01  1.0959E+00  3.4901E+03  1.0173E+01
   2.2108E+03  5.0000E-06  6.7824E-07  5.0421E+03  1.4050E+01  1.1066E+00  4.3049E+03  8.4088E+00
   2.3022E+03  5.0000E-06  6.3561E-07  5.6636E+03  1.4326E+01  1.1339E+00  4.8769E+03  5.2182E+00
   1.2968E+03  4.4060E-02  1.1792E-02  1.1027E+03  9.3744E+00  1.3144E+00  7.2905E+02  1.2047E+00
   1.3882E+03  4.4060E-02  1.1015E-02  1.2135E+03  9.4570E+00  1.3091E+00  8.1353E+02  1.2203E+00
   1.4796E+03  4.4060E-02  1.0335E-02  1.3258E+03  9.5353E+00  1.3039E+00  8.9946E+02  1.2363E+00
   1.5710E+03  4.4060E-02  9.7335E-03  1.4396E+03  9.6099E+00  1.2987E+00  9.8689E+02  1.2534E+00
   1.6624E+03  4.4060E-02  9.1982E-03  1.5550E+03  9.6813E+00  1.2930E+00  1.0760E+03  1.2730E+00
   1.7538E+03  4.4060E-02  8.7183E-03  1.6724E+03  9.7501E+00  1.2865E+00  1.1670E+03  1.2973E+00
   1.8452E+03  4.4060E-02  8.2855E-03  1.7924E+03  9.8168E+00  1.2788E+00  1.2606E+03  1.3303E+00
   1.9366E+03  4.4060E-02  7.8926E-03  1.9160E+03  9.8822E+00  1.2690E+00  1.3578E+03  1.3775E+00
   2.0280E+03  4.4060E-02  7.5335E-03  2.0449E+03  9.9472E+00  1.2566E+00  1.4600E+03  1.4474E+00
   2.1194E+03  4.4060E-02  7.2027E-03  2.1816E+03  1.0013E+01  1.2415E+00  1.5699E+03  1.5507E+00
   2.2108E+03  4.4060E-02  6.8953E-03  2.3298E+03  1.0082E+01  1.2242E+00  1.6908E+03  1.7007E+00
   2.3022E+03  4.4060E-02  6.6068E-03  2.4944E+03  1.0154E+01  1.2059E+00  1.8275E+03  1.9126E+00
